console,game,year,publisher,players,genre,rating
PlayStation,Spyro: Year of the Dragon,2000,Sony Computer Entertainment,1,Platformer,9.1
PlayStation,Wipeout 3,1999,Psygnosis,1-2,Racing,9.0
PlayStation,Resident Evil 3: Nemesis,1999,Capcom,1,Survival Horror,9.0
PlayStation,Ape Escape,1999,Sony Computer Entertainment,1,Platformer,8.9
PlayStation,Tomb Raider II,1997,Eidos Interactive,1,Action-Adventure,8.8
SNES,Super Metroid,1994,Nintendo,1,Action-Adventure,10.0
SNES,Chrono Trigger,1995,Square,1,RPG,10.0
SNES,The Legend of Zelda: A Link to the Past,1991,Nintendo,1,Action-Adventure,9.9
SNES,Super Mario World,1990,Nintendo,1-2,Platformer,9.8
SNES,Final Fantasy VI,1994,Square,1,RPG,9.8
SNES,Mega Man X,1993,Capcom,1,Action-Platformer,9.6
SNES,Donkey Kong Country 2,1995,Nintendo,1-2,Platformer,9.6
SNES,Super Castlevania IV,1991,Konami,1,Action-Platformer,9.5
SNES,Contra III: The Alien Wars,1992,Konami,1-2,Run-and-Gun,9.5
SNES,EarthBound,1994,Nintendo,1,RPG,9.5
SNES,Yoshi's Island,1995,Nintendo,1,Platformer,9.5
SNES,Super Mario Kart,1992,Nintendo,1-2,Racing,9.3
SNES,Kirby Super Star,1996,Nintendo,1-2,Platformer,9.3
SNES,Turtles in Time,1992,Konami,1-2,Beat 'em up,9.2
SNES,Super Punch-Out!!,1994,Nintendo,1,Sports,9.2
SNES,ActRaiser,1990,Enix,1,Action/Strategy,9.1
SNES,Secret of Mana,1993,Square,1-3,Action RPG,9.1
SNES,F-Zero,1990,Nintendo,1,Racing,9.0
SNES,Star Fox,1993,Nintendo,1,Shooter,9.0
SNES,Super Ghouls 'n Ghosts,1991,Capcom,1,Action-Platformer,8.9
Sega 32X,Doom,1994,id Software,1,First-Person Shooter,8.6
Sega 32X,Star Wars Arcade,1994,Sega,1-2,Rail Shooter,8.4
Sega 32X,Virtua Fighter,1995,Sega,1-2,Fighting,8.2
Sega 32X,Knuckles' Chaotix,1995,Sega,1,Platformer,8.1
Sega 32X,NBA Jam Tournament Edition,1995,Acclaim,1-4,Sports,8.1
Sega 32X,Space Harrier,1994,Sega,1,Rail Shooter,8.0
Sega 32X,Blackthorne,1995,Interplay,1,Action-Platformer,8.0
Sega 32X,Mortal Kombat II,1995,Acclaim,1-2,Fighting,8.0
Sega 32X,Shadow Squadron,1995,Sega,1,Space Combat,7.9
Sega 32X,Tempo,1995,Sega,1,Platformer,7.8
Sega 32X,After Burner Complete,1995,Sega,1,Action,7.8
Sega 32X,Primal Rage,1995,Atari,1-2,Fighting,7.8
Sega 32X,World Series Baseball Starring Deion Sanders,1995,Sega,1-2,Sports,7.8
Sega 32X,T-MEK,1995,Sega,1-2,Action,7.6
Sega 32X,Metal Head,1995,Sega,1,Action,7.5
Sega 32X,Zaxxon's Motherbase 2000,1995,Sega,1,Shoot 'em up,7.5
Sega 32X,WWF Raw,1995,Acclaim,1-4,Wrestling,7.4
Sega 32X,NFL Quarterback Club 95,1995,Acclaim,1-4,Sports,7.4
Sega 32X,Fahrenheit,1995,Sega,1,Action,7.0
Sega 32X,Cosmic Carnage,1995,Sega,1-2,Fighting,6.9
Sega CD / Mega-CD,Snatcher,1994,Konami,1,Adventure,9.5
Sega CD / Mega-CD,Sonic CD,1993,Sega,1,Platformer,9.4
Sega CD / Mega-CD,Lunar: Eternal Blue,1994,Working Designs,1,RPG,9.4
Sega CD / Mega-CD,Lunar: The Silver Star,1993,Working Designs,1,RPG,9.3
Sega CD / Mega-CD,Robo Aleste,1992,Compile,1,Shoot 'em up,9.1
Sega CD / Mega-CD,Popful Mail,1994,Working Designs,1,Action RPG,9.1
Sega CD / Mega-CD,Shining Force CD,1994,Sega,1,Strategy RPG,9.0
Sega CD / Mega-CD,Lords of Thunder,1995,Working Designs,1,Shoot 'em up,9.0
Sega CD / Mega-CD,Final Fight CD,1993,Sega,1-2,Beat 'em up,8.9
Sega CD / Mega-CD,Keio Flying Squadron,1993,Victor,1,Shoot 'em up,8.8
Sega CD / Mega-CD,Earthworm Jim: Special Edition,1995,Shiny Entertainment,1,Platformer,8.8
Sega CD / Mega-CD,Silpheed,1993,Game Arts,1,Shoot 'em up,8.7
Sega CD / Mega-CD,Android Assault,1993,Scavenger,1,Shoot 'em up,8.6
Sega CD / Mega-CD,Dark Wizard,1993,Sega,1,Strategy RPG,8.6
Sega CD / Mega-CD,Ecco the Dolphin CD,1993,Sega,1,Action,8.5
Sega CD / Mega-CD,Heart of the Alien,1994,Interplay,1,Cinematic Platformer,8.5
Sega CD / Mega-CD,Batman Returns,1993,Sega,1,Action,8.4
Sega CD / Mega-CD,Ecco: The Tides of Time CD,1994,Sega,1,Action,8.4
Sega CD / Mega-CD,Road Avenger,1993,Sega,1,Interactive Movie,7.7
Sega CD / Mega-CD,Time Gal,1993,Sega,1,Interactive Movie,7.6
Sega Master System / Game Gear,Wonder Boy III: The Dragon's Trap,1989,Sega,1,Action-Adventure,9.4
Sega Master System / Game Gear,Dragon's Trap,1989,Sega,1,Action-Adventure,9.4
Sega Master System / Game Gear,Phantasy Star,1987,Sega,1,RPG,9.3
Sega Master System / Game Gear,Castle of Illusion Starring Mickey Mouse,1990,Sega,1,Platformer,9.0
Sega Master System / Game Gear,Sonic the Hedgehog,1991,Sega,1,Platformer,9.0
Sega Master System / Game Gear,Power Strike II,1993,Sega,1,Shoot 'em up,9.0
Sega Master System / Game Gear,Land of Illusion Starring Mickey Mouse,1992,Sega,1,Platformer,8.9
Sega Master System / Game Gear,Shinobi,1987,Sega,1,Action,8.8
Sega Master System / Game Gear,Master of Darkness,1992,Sega,1,Action-Platformer,8.8
Sega Master System / Game Gear,Streets of Rage 2,1993,Sega,1-2,Beat 'em up,8.8
Sega Master System / Game Gear,Gunstar Heroes,1995,Sega,1,Run-and-Gun,8.8
Sega Master System / Game Gear,R-Type,1988,Sega,1,Shoot 'em up,8.7
Sega Master System / Game Gear,Power Strike,1991,Sega,1,Shoot 'em up,8.7
Sega Master System / Game Gear,Defenders of Oasis,1992,Sega,1,RPG,8.7
Sega Master System / Game Gear,Golden Axe Warrior,1991,Sega,1,Action RPG,8.6
Sega Master System / Game Gear,Ninja Gaiden,1992,Tecmo,1,Action-Platformer,8.6
Sega Master System / Game Gear,Alex Kidd in Miracle World,1986,Sega,1,Platformer,8.5
Sega Master System / Game Gear,Shining Force Gaiden,1992,Sega,1,Strategy RPG,8.5
Sega Master System / Game Gear,Fantasy Zone,1986,Sega,1,Shoot 'em up,8.4
Sega Master System / Game Gear,Sonic Chaos,1993,Sega,1,Platformer,8.3
Sega Saturn,Panzer Dragoon Saga,1998,Sega,1,RPG,9.8
Sega Saturn,Radiant Silvergun,1998,Treasure,1-2,Shoot 'em up,9.7
Sega Saturn,Shining Force III,1997,Sega,1,Strategy RPG,9.5
Sega Saturn,Guardian Heroes,1996,Sega,1-4,Beat 'em up,9.4
Sega Saturn,Saturn Bomberman,1996,Hudson Soft,1-10,Action,9.4
Sega Saturn,Dungeons & Dragons Collection,1999,Capcom,1-2,Beat 'em up,9.4
Sega Saturn,Virtua Fighter 2,1995,Sega,1-2,Fighting,9.3
Sega Saturn,NiGHTS into Dreams,1996,Sega,1-2,Action,9.3
Sega Saturn,Panzer Dragoon Zwei,1996,Sega,1,Rail Shooter,9.3
Sega Saturn,Sega Rally Championship,1994,Sega,1-2,Racing,9.2
Sega Saturn,Dragon Force,1996,Working Designs,1,Strategy RPG,9.2
Sega Saturn,X-Men vs. Street Fighter,1996,Capcom,1-2,Fighting,9.2
Sega Saturn,Street Fighter Alpha 3,1998,Capcom,1-2,Fighting,9.2
Sega Saturn,Fighters Megamix,1996,Sega,1-2,Fighting,9.1
Sega Saturn,Thunder Force V,1997,Technosoft,1,Shoot 'em up,9.1
Sega Saturn,Virtua Cop 2,1995,Sega,1-2,Light-gun Shooter,9.0
Sega Saturn,Panzer Dragoon,1995,Sega,1,Rail Shooter,8.9
Sega Saturn,Shining the Holy Ark,1996,Sega,1,RPG,8.9
Sega Saturn,Burning Rangers,1998,Sega,1,Action,8.9
Sega Saturn,Albert Odyssey: Legend of Eldean,1996,Working Designs,1,RPG,8.8
Vectrex,Mine Storm,1982,General Consumer Electronics,1,Shoot 'em up,8.6
Vectrex,Armor Attack,1982,Cinematronics,1-2,Arcade,8.4
Vectrex,Star Castle,1983,Cinematronics,1,Arcade,8.4
Vectrex,Berzerk,1982,Atari,1,Arcade,8.2
Vectrex,Solar Quest,1982,Cinematronics,1,Shoot 'em up,8.2
Vectrex,Scramble,1982,Cinematronics,1,Shoot 'em up,8.1
Vectrex,Starhawk,1981,General Consumer Electronics,1,Shoot 'em up,8.0
Vectrex,Rip-Off,1982,Cinematronics,1-2,Arcade,8.0
Vectrex,Space Duel,1982,Atari,1-2,Arcade,8.0
Vectrex,Cosmic Chasm,1982,General Consumer Electronics,1,Shoot 'em up,7.9
Vectrex,Fortress of Narzod,1983,General Consumer Electronics,1,Action,7.9
Vectrex,3D Mine Storm,1982,General Consumer Electronics,1,Shoot 'em up,7.8
Vectrex,Pole Position,1983,Atari,1,Racing,7.8
Vectrex,Blitz!,1982,General Consumer Electronics,1-2,Sports,7.7
Vectrex,Clean Sweep,1982,General Consumer Electronics,1,Arcade,7.7
Vectrex,Dark Tower,1983,General Consumer Electronics,1,Action,7.7
Vectrex,Polar Rescue,1983,General Consumer Electronics,1,Action,7.6
Vectrex,3D Crazy Coaster,1983,General Consumer Electronics,1,Action,7.5
Vectrex,Spinball,1983,General Consumer Electronics,1,Pinball,7.5
Vectrex,Heads Up,1983,General Consumer Electronics,1-2,Sports,7.4
Vectrex Homebrew,Vector Patrol,2012,Homebrew,1,Action,8.2
Vectrex Homebrew,War of the Robots,2011,Homebrew,1,Action,8.0
Vectrex Homebrew,Donkey Kong,2013,Homebrew,1,Platformer,7.9
Vectrex Homebrew,Scramble,2013,Homebrew,1,Shoot 'em up,7.8
Vectrex Homebrew,Frogger,2014,Homebrew,1,Arcade,7.8
Vectrex Homebrew,Pac-Man,2014,Homebrew,1,Arcade,7.8
WonderSwan / WonderSwan Color,Judgement Silversword,2004,Qute,1,Shoot 'em up,9.2
WonderSwan / WonderSwan Color,Final Fantasy IV,2002,Square,1,RPG,9.1
WonderSwan / WonderSwan Color,Dicing Knight.,2004,Pallas,1,Action RPG,9.0
WonderSwan / WonderSwan Color,Final Fantasy,2000,Square,1,RPG,8.9
WonderSwan / WonderSwan Color,Gunpey,1999,Bandai,1-2,Puzzle,8.8
WonderSwan / WonderSwan Color,Klonoa: Moonlight Museum,1999,Namco,1,Platformer,8.8
WonderSwan / WonderSwan Color,Final Fantasy II,2001,Square,1,RPG,8.7
WonderSwan / WonderSwan Color,Tetris,1999,Bandai,1-2,Puzzle,8.4
WonderSwan / WonderSwan Color,Rockman & Forte: Mirai kara no Chousensha,2002,Bandai,1,Action-Platformer,8.4
WonderSwan / WonderSwan Color,Makai-Mura for WonderSwan,1999,Capcom,1,Action-Platformer,8.3
WonderSwan / WonderSwan Color,Guilty Gear Petit 2,2001,Sammy,1-2,Fighting,8.3
WonderSwan / WonderSwan Color,Guilty Gear Petit,2001,Sammy,1-2,Fighting,8.2
WonderSwan / WonderSwan Color,Chocobo's Dungeon for WonderSwan,1999,Square,1,RPG,8.1
WonderSwan / WonderSwan Color,Front Mission: Gun Hazard,2000,Square,1,Strategy RPG,8.0
WonderSwan / WonderSwan Color,Puzzle Bobble,2000,Bandai,1-2,Puzzle,8.0
WonderSwan / WonderSwan Color,Digimon: Digital Monster,1999,Bandai,1,RPG,7.9
WonderSwan / WonderSwan Color,Blue Wing Blitz,2004,Square Enix,1,Strategy RPG,7.9
WonderSwan / WonderSwan Color,One Piece Grand Battle Swan Colosseum,2002,Bandai,1-2,Fighting,7.8
WonderSwan / WonderSwan Color,Wonder Classic,1999,Bandai,1,Puzzle,7.6
WonderSwan / WonderSwan Color,WonderSwan Color Gundam,2000,Bandai,1,Strategy,7.6
